word,sentiment,intensity,valence
峻宇雕墙,Awe,3,1
立锥之地,Disgust,1,-1
赏信罚明,Awe,5,1
黄道吉日,Joy,3,1
旁门左道,Disgust,7,-1
大难临头,Fear,5,-1
骨瘦如柴,Disgust,5,-1
药店飞龙,Disgust,5,-1
不治之症,Disgust,5,-1
披麻戴孝,SadDisgustss,5,0
鳏寡孤独,SadDisgustss,7,0
离群索居,SadDisgustss,3,0
相门有相,Joy,5,0
驰名天下,Awe,9,1
名标青史,Awe,9,1
人死留名,Awe,5,1
谈笑风生,Awe,7,1
不经之谈,Disgust,3,-1
混为一谈,Disgust,3,-1
游谈无根,Disgust,5,-1
巧言花语,Disgust,5,-1
口头禅,Disgust,3,-1
多嘴多舌,Disgust,5,-1
唠唠叨叨,Disgust,3,-1
絮絮叨叨,Disgust,3,-1
即即世世,Disgust,3,-1
顾名思义,Awe,1,0
随时制宜,Awe,3,1
没齿不忘,Awe,7,1
顿开茅塞,Joy,3,1
了若指掌,Awe,5,1
先知先觉,Awe,3,1
抚躬责己,Awe,5,1
隐晦曲折,Disgust,3,-1
耳食之谈,Disgust,3,-1
靠天吃饭,Disgust,1,0
强龙不压地头蛇,Disgust,1,-1
倚官仗势,Disgust,5,-1
不耕而食，不蚕而衣,Disgust,3,-1
欺罔视听,Disgust,7,-1
甜嘴蜜舌,Disgust,5,-1
鸿飞冥冥,Joy,5,1
前门进虎，后门进狼,Fear,3,-1
在劫难逃,Fear,5,-1
草衣木食,SadDisgustss,1,-1
等米下锅,SadDisgustss,1,-1
家道壁立,SadDisgustss,3,-1
纳履踵决,SadDisgustss,3,-1
飞短流长,Disgust,5,-1
薏苡明珠,Disgust,5,-1
利息秋毫,Awe,1,1
关门闭户,SadDisgustss,1,0
豺狐之心,Disgust,7,-1
瓜蔓抄,Disgust,7,-1
玉粒桂薪,Disgust,3,-1
债台高筑,Disgust,7,-1
刚毅不讷,Awe,7,1
无拳无勇,Disgust,5,-1
鞍不离马，甲不离身,Awe,5,1
枕戈待旦,Awe,5,1
迟疑不决,Disgust,3,-1
仓卒应战,Fear,9,-1
犹豫不定,Disgust,3,-1
低首下心,Disgust,3,-1
盖不由己,Disgust,3,-1
锱铢必较,Disgust,7,-1
张公吃酒李公醉,Disgust,3,-1
鼠窜狼奔,Disgust,5,-1
嘴甜心苦,Disgust,5,-1
强盗挂念珠,Disgust,7,-1
见事风生,Disgust,5,-1
报仇雪恨,Disgust,7,-1
招权纳赂,Disgust,5,-1
缓不济急,Fear,5,0
屏声息气,Fear,3,0
歧路亡羊,Disgust,5,-1
千了百当,Awe,3,1
冬扇夏炉,Disgust,5,-1
喧宾夺主,Disgust,5,-1
日月交食,Disgust,5,-1
漏脯充饥,Disgust,7,-1
束手待毙,Disgust,5,-1
抛头露面,Disgust,5,-1
原形毕露,Disgust,7,-1
因祸得福,Joy,5,1
人民城郭,SadDisgustss,5,-1
联翩而至,Joy,5,0
自相残杀,Disgust,7,-1
强人所难,Disgust,5,-1
有隙可乘,Disgust,3,-1
欺善怕恶,Disgust,7,-1
肆意横行,Disgust,7,-1
横行天下,Disgust,7,-1
知情不举,Disgust,7,-1
博士买驴,Disgust,3,-1
屦贱踊贵,Disgust,3,-1
结党营私,Disgust,9,-1
招降纳叛,Disgust,5,-1
任其自便,Disgust,3,-1
惹祸招殃,Disgust,5,-1
招风惹草,Disgust,5,-1
鼓噪而起,Disgust,5,-1
出乖露丑,Disgust,5,-1
谏鼓谤木,Awe,5,1
高下在心,Awe,3,1
殚智竭力,Awe,7,1
草草收兵,Disgust,5,-1
图谋不轨,Disgust,5,-1
贪欢逐乐,Disgust,7,-1
春深似海,Awe,5,1
天朗气清,Awe,7,1
秋高气肃,Awe,5,1
天府之国,Awe,9,1
群芳竟艳,Awe,5,1
绿水青山,Awe,7,1
光彩耀日,Awe,5,1
除恶务尽,AFearry,5,0
评头品足,Disgust,5,-1
胆大包天,Disgust,7,-1
涸泽而渔,Disgust,7,-1
搔头弄姿,Disgust,5,-1
逼上梁山,AFearry,5,0
反客为主,Awe,1,0
小试锋芒,Awe,3,1
左右开弓,Awe,3,1
出口成章,Awe,7,1
兼资文武,Awe,7,1
陆海潘江,Awe,9,1
七步成诗,Awe,7,1
神机妙算,Awe,9,1
胸中甲兵,Awe,7,1
卓荦超伦,Awe,9,1
殚见洽文,Awe,7,1
闳大不经,Awe,7,1
通人达才,Awe,7,1
蜀犬吠日,Disgust,3,-1
真知灼见,Awe,5,1
白日升天,Joy,3,1
破壁飞去,Joy,5,1
彪炳千古,Awe,9,1
涉笔成趣,Awe,7,1
赞不绝口,Awe,9,1
折足覆餗,Disgust,5,-1
土牛木马,Disgust,5,-1
玉卮无当,Disgust,5,-1
